Action_Type,Location_or_Segment,Metric_1_Name,Metric_1_Value,Metric_2_Name,Metric_2_Value,Source_File,Is_NCR
Cuisine pairing premium,Continental + Fast Food,rating_premium,0.0644067718304164,n_restaurants,43,cuisine_pair_premium.csv,
Cuisine pairing premium,Bakery + Fast Food,rating_premium,0.0603964735126187,n_restaurants,184,cuisine_pair_premium.csv,
Cuisine pairing premium,Biryani + North Indian,rating_premium,0.0450621104945456,n_restaurants,69,cuisine_pair_premium.csv,
Cuisine pairing premium,Continental + Thai,rating_premium,0.043725071121571,n_restaurants,38,cuisine_pair_premium.csv,
Cuisine pairing premium,Bakery + Desserts,rating_premium,0.032936602183593,n_restaurants,219,cuisine_pair_premium.csv,
Cuisine pairing premium,Asian + Thai,rating_premium,0.0261053509697695,n_restaurants,43,cuisine_pair_premium.csv,
Cuisine pairing premium,Desserts + Street Food,rating_premium,0.0202393727017877,n_restaurants,36,cuisine_pair_premium.csv,
Cuisine pairing premium,Bakery + Chinese,rating_premium,0.0172121335195711,n_restaurants,30,cuisine_pair_premium.csv,
Cuisine pairing premium,Fast Food + Street Food,rating_premium,0.013866216808045,n_restaurants,77,cuisine_pair_premium.csv,
Cuisine pairing premium,Italian + Lebanese,rating_premium,0.0074521570090424,n_restaurants,33,cuisine_pair_premium.csv,
Cuisine pairing premium,Fast Food + Italian,rating_premium,0.0043780211951851,n_restaurants,111,cuisine_pair_premium.csv,
High-risk restaurant in opportunity locality,Garam Masala (Sector 12),Coldstart_Risk_Score,0.9279508939800714,Is Rated,0,restaurant_master_insights.csv + locality_opportunity_flags.csv,1.0
