Restaurant ID,Restaurant Name,Votes,Aggregate rating,Cred_Rating,shrinkage_weight,rank_raw,rank_cred,rank_change
18198440,Radha Swami Cool Hut,7,3.1,3.319866620541205,0.875,4106.0,3750.0,356.0
304161,Sagar Choley Bhatoorey,26,3.2,3.298833743337433,0.6533333333333333,3596.0,4579.0,-983.0
18037798,Sehyog Alpahar,10,3.2,3.3256361144119913,0.8305084745762712,3596.0,3496.0,100.0
310279,South Indian Hut,5,2.9,3.309491310190879,0.9074074074074074,5082.0,4258.0,824.0
5964,Vijay Corner,7,3.0,3.307366620541205,0.875,4617.0,4362.0,255.0
18241496,Mithlesh Ande Wala,17,3.5,3.389583799247083,0.7424242424242424,2195.0,2687.0,-492.0
309695,Roti N Boti,21,3.5,3.395893296432964,0.7,2195.0,2607.0,-412.0
5438,Khana Khazana,281,3.7,3.648219790152447,0.1484848484848485,1422.0,1370.0,52.0
3383,Ahad Sons Restaurant,104,3.4,3.384395625819003,0.3202614379084967,2648.0,2755.0,-107.0
4450,Jughead's Fast Food Corner,438,3.6,3.5749743957911857,0.10061601642710473,1785.0,1638.0,147.0
18254521,The Coffee Bond,73,4.2,3.859119104510717,0.4016393442622951,289.0,720.0,-431.0
18352678,Wow! Momo,77,2.9,3.075496275796091,0.3888888888888889,5082.0,5989.0,-907.0
18263236,Domino's Pizza,24,3.6,3.433048366442568,0.6712328767123288,1785.0,2428.0,-643.0
18277230,Haldiram's,59,3.7,3.541782692132477,0.4537037037037037,1422.0,1797.0,-375.0
18350231,Keventers,37,3.8,3.544331752910552,0.5697674418604651,1087.0,1785.0,-698.0
18380171,Pat 'N' Harry,42,2.3,2.866071766486895,0.5384615384615384,6408.0,6300.0,108.0
18306543,"34, Chowringhee Lane",5,3.1,3.3280098287093978,0.9074074074074074,4106.0,3436.0,670.0
7297,Aggarwal Sweets,5,2.8,3.30023205093162,0.9074074074074074,5462.0,4556.0,906.0
5774,Amritsari Dhaba,10,2.9,3.2747886567848727,0.8305084745762712,5082.0,5007.0,75.0
312172,Apna Swad,4,2.9,3.317217561326556,0.9245283018867925,5082.0,3922.0,1160.0
18168165,ATM Food Corner,4,3.0,3.324764731137877,0.9245283018867925,4617.0,3529.0,1088.0
18449824,Burger House,4,2.8,3.3096703915152355,0.9245283018867925,5462.0,4247.0,1215.0
5413,Cafe De Bienka,12,2.7,3.2231562418083195,0.8032786885245902,5776.0,5499.0,277.0
18285208,Chatkaara Point,7,2.9,3.2948666205412054,0.875,5082.0,4662.0,420.0
306185,Dharma Punjabi Dhaba,5,2.7,3.2909727916723606,0.9074074074074074,5776.0,4773.0,1003.0
312073,Domino's Pizza,6,2.5,3.2584096500055906,0.8909090909090909,6216.0,5211.0,1005.0
312054,Flavourz Factoree,14,3.1,3.2954369960366265,0.7777777777777778,4106.0,4638.0,-532.0
301912,Gabbar Chowmein,4,3.0,3.324764731137877,0.9245283018867925,4617.0,3529.0,1088.0
18372661,Gayatri's Break Point Restaurant,4,3.1,3.3323119009491977,0.9245283018867925,4106.0,3343.0,763.0
5499,Grover Sweets & Bakers,12,3.3,3.3411890286935653,0.8032786885245902,3125.0,3150.0,-25.0
302005,Khalsa Veg Corner,10,3.1,3.3086869618696184,0.8305084745762712,4106.0,4318.0,-212.0
306179,Lajawab Chinese Food,4,3.0,3.324764731137877,0.9245283018867925,4617.0,3529.0,1088.0
302057,Lajwab Bakery,7,3.1,3.319866620541205,0.875,4106.0,3750.0,356.0
302729,Maharani Rasoi,5,3.0,3.3187505694501387,0.9074074074074074,4617.0,3823.0,794.0
313067,Natkhat Bakers,4,3.1,3.3323119009491977,0.9245283018867925,4106.0,3343.0,763.0
18133491,Pastry Palace,11,3.2,3.3235421791717914,0.8166666666666667,3596.0,3655.0,-59.0
18204464,Punjabi Tadka,11,2.7,3.231875512505125,0.8166666666666667,5776.0,5429.0,347.0
5412,Radha Swami Vaishno Dhaba,6,3.0,3.3129551045510452,0.8909090909090909,4617.0,4096.0,521.0
18358654,Scoops,9,2.8,3.2657332887984047,0.8448275862068966,5462.0,5138.0,324.0
309167,Shah Bakery,10,3.0,3.2917378093272456,0.8305084745762712,4617.0,4730.0,-113.0
301903,Shahi Kachauri Wale,6,2.8,3.291136922732863,0.8909090909090909,5462.0,4762.0,700.0
302757,Shahi Kachauri,4,2.8,3.3096703915152355,0.9245283018867925,5462.0,4247.0,1215.0
310625,Shri Bikaner Sweets,4,2.9,3.317217561326556,0.9245283018867925,5082.0,3922.0,1160.0
312171,Shri Krishna Vaishno Dhaba,5,3.0,3.3187505694501387,0.9074074074074074,4617.0,3823.0,794.0
9209,Shri Murli Wala,7,2.8,3.2823666205412048,0.875,5462.0,4890.0,572.0
18291240,Shri Radha Ki Rasoi,6,2.8,3.291136922732863,0.8909090909090909,5462.0,4762.0,700.0
307946,Singh's Ice Cream Parlour,8,3.0,3.301974223689605,0.8596491228070176,4617.0,4498.0,119.0
18203182,Swastik Restaurant,6,2.7,3.2802278318237725,0.8909090909090909,5776.0,4949.0,827.0
302047,Tanatan Corner,7,2.9,3.2948666205412054,0.875,5082.0,4662.0,420.0
307140,Tasty Bite,12,2.8,3.2428283729558602,0.8032786885245902,5462.0,5351.0,111.0
18014109,Wah Ji Wah,4,2.4,3.2794817122699524,0.9245283018867925,6325.0,4959.0,1366.0
8257,Cafe Coffee Day,33,2.6,3.048933301833018,0.5975609756097561,6026.0,6040.0,-14.0
18291214,Chalte Firte Momos,23,2.6,3.1112851493098264,0.6805555555555556,6026.0,5907.0,119.0
1547,Chutneez Restaurant Lounge & Bar,132,2.7,2.8763123245873343,0.27071823204419887,5776.0,6290.0,-514.0
18219520,Domino's Pizza,25,3.4,3.367736902031182,0.6621621621621622,2648.0,3022.0,-374.0
18378036,Fattoush,5,2.9,3.309491310190879,0.9074074074074074,5082.0,4258.0,824.0
18311958,Keventers,25,3.3,3.3339531182473983,0.6621621621621622,3125.0,3294.0,-169.0
8979,Kutty's South Indian Cafe,99,3.4,3.383868451015591,0.3310810810810811,2648.0,2770.0,-122.0
8215,Mandrain,7,2.8,3.2823666205412048,0.875,5462.0,4890.0,572.0
2009,Nazeer Foods,193,3.4,3.390134424588047,0.2024793388429752,2648.0,2683.0,-35.0
6042,Nirula's Ice Cream,38,3.0,3.1978451810380166,0.5632183908045977,4617.0,5621.0,-1004.0
308816,Punjabi Tadka,5,2.8,3.30023205093162,0.9074074074074074,5462.0,4556.0,906.0
