Locality,Price range,Supply,Demand,AvgVotesPerRestaurant,mean_Cred_Rating,locality_p75_threshold,percentile_rank,is_opportunity
MG Road,3,9,1414,157.11111111111111,3.4061898007750004,142.02777777777777,1.0,False
MG Road,4,3,353,117.66666666666667,3.4878707262434046,142.02777777777777,0.5,False
Mahipalpur,1,41,100,2.4390243902439024,3.2842300178726296,6.333333333333334,0.3333333333333333,False
Mahipalpur,2,24,166,6.916666666666667,3.2992636577494427,6.333333333333334,1.0,False
Mahipalpur,3,4,23,5.75,3.292145085272968,6.333333333333334,0.6666666666666666,False
Malviya Nagar,1,27,2497,92.48148148148148,3.405873060118615,162.69,0.3333333333333333,False
Malviya Nagar,2,50,9269,185.38,3.4055027089606837,162.69,1.0,False
Malviya Nagar,3,8,1120,140.0,3.5432871360868,162.69,0.6666666666666666,False
Mayur Vihar Phase 1,1,62,882,14.225806451612904,3.2621519233710763,58.25,0.25,False
Mayur Vihar Phase 1,2,20,879,43.95,3.2119891755568433,58.25,0.5,False
Mayur Vihar Phase 1,3,1,51,51.0,3.274125307503075,58.25,0.75,False
Mayur Vihar Phase 1,4,1,80,80.0,3.195445974808585,58.25,1.0,True
Mayur Vihar Phase 3,1,23,218,9.478260869565217,3.260246768653947,19.452898550724637,0.5,False
Mayur Vihar Phase 3,2,9,205,22.77777777777778,3.2540670526877693,19.452898550724637,1.0,False
Moti Nagar,1,24,306,12.75,3.3822469697586315,16.828125,0.5,False
Moti Nagar,2,16,291,18.1875,3.3248577152862864,16.828125,1.0,False
Mukherjee Nagar,1,63,199,3.1587301587301586,3.304537672018024,3.3396825396825394,0.5,False
Mukherjee Nagar,2,5,17,3.4,3.3220095700591505,3.3396825396825394,1.0,False
Munirka,1,33,282,8.545454545454545,3.287339728827498,24.550505050505052,0.6666666666666666,False
Munirka,2,9,365,40.55555555555556,3.2481989518216765,24.550505050505052,1.0,False
Munirka,3,1,6,6.0,3.3129551045510452,24.550505050505052,0.3333333333333333,False
Najafgarh,1,56,34,0.6071428571428571,3.317217561326556,0.5803571428571428,1.0,False
Najafgarh,2,4,2,0.5,,0.5803571428571428,0.5,False
Nangloi,1,40,6,0.15,,0.11249999999999999,1.0,False
Nangloi,2,1,0,0.0,,0.11249999999999999,0.5,False
Naraina,1,47,274,5.829787234042553,3.286643784882935,14.25,0.3333333333333333,False
Naraina,2,6,81,13.5,3.2525627090971057,14.25,0.6666666666666666,False
Naraina,3,1,15,15.0,3.2923832929735544,14.25,1.0,True
Nehru Place,1,21,431,20.523809523809526,3.272452917798839,206.25,0.25,False
Nehru Place,2,6,552,92.0,3.4619876890376466,206.25,0.5,False
Nehru Place,3,4,1596,399.0,3.308151278516195,206.25,1.0,False
Nehru Place,4,1,142,142.0,3.6105368102110336,206.25,0.75,False
